Number,abr,Name,Market cap,Price,holding (coins),balance (USD),Volume (24h),Circulating Supply,amount (funds),balance (USD),% (share of assets),Masternode Coin,Stakeable
,ACE,Ace,,$0.31,,,,,,,,,
,ARK,Ark,,$3.07,,,,,,,,,
,REP,Augur,,$40.03,,,,,,,,,
,BNB,Binance,,$12.38,,,,,,,,,
,BTC,Bitcoin,,"$9,345.00",,,,,,,,,
,BCH,Bitcoin Cash,,$979.13,,,,,,,,,
,BDG,BitDegree,,$0.04,,,,,,,,,
,BTS,BitShares,,$0.24,,,,,,,,,
,CAT,BlockCAT,,$0.68,,,,,,,,,
,BOS,BOScoin,,$0.34,10057.69,"$3,467.89","Ziel: 40,000",,,,,,
,BWK,Bulwark,,$1.42,,,,,,,,,
,GBYTE,Byteballs,,$284.57,,,,,,,,,
,ADA,Cardano,,$0.35,,,,,,,,,
,LINK,ChainLink,,$0.47,,,,,,,,,
,DASH,DASH,,$433.42,,,,,,,,,
,ONION,DeepOnion,,$2.38,,,,,,,,,
,DNT,district0x,,$0.08,,,,,,,,,
,ENJ,EnjinCoin,,$0.13,,,,,,,,,
,ETH,Ethereum,,$681.60,,,,,,,,,
,FCT,Factom,,$29.04,,,,,,,,,
,GAS,Gas (NEO),,$22.99,,,,,,,,,
,GNT,Golem,,$0.44,,,,,,,,,
,ICX,ICON,,$3.24,,,,,,,,,
,ICN,Iconomi,,$1.29,,,,,,,,,
,IOTA,IOTA,,$1.83,,,,,,,,,
,LISK,Lisk,,$11.63,,,,,,,,,
,LTC,Litecoin,,$147.03,,,,,,,,,
,MLN,Melon,,$73.49,,,,,,,,,
,XMR,Monero,,$256.30,,,,,,,,,
,NANO,Nano (RaiBlocks),,$7.13,,,,,,,,,
,XEM,NEM,,$0.41,1637.3,678.33,,,,,,,
,NEO,NEO,,$73.62,,,,,,,,,
,NLC2,NoLimitCoin,,$0.07,,,,,,,,,
,OMG,OmiseGO,,$15.91,,,,,,,,,
,PIVX,PIVX,,$5.16,,,,,,,,,
,QTUM,Qtum,,$19.37,,,,,,,,,
,QVT,Qvolta,,$0.28,,,,,,,,,
,XRP,Ripple,,$0.85,,,,,,,,,
,RISE,Rise,,$0.11,3468.7,$385.03,"Ziel: 10,000",,,,,,
,SAFEX,Safe Exchange Coin,,$0.02,,,,,,,,,
,SAGA,SagaCoin,,$0.69,,,,,,,,,
,SC,Siacoin,,$0.02,,,,,,,,,
,SEND,SocialSend,,$0.13,,,,,,,,,
,STEEM,Steem,,$4.01,,,,,,,,,
,XLM,Stellar Lumen,,$0.43,,,,,,,,,
,STRAT,Stratis,,$5.73,,,,,,,,,
,SYNX,Syndicate,,$0.59,5440,"$3,220.48",,,,,,,
,SYS,Syscoin,,$0.45,,,,,,,,,
,XTZ,Tezos,,$3.14,,,,,,,,,
,TKS,Tokes,,$2.71,,,,,,,,,
,TX,TransferCoin,,$1.74,,,,,,,,,
,TRX,Tron,,$0.05,,,,,,,,,
,XVG,Verge,,$0.07,,,,,,,,,
,WTC,WaltonChain,,$12.40,,,,,,,,,
,WAVES,Waves,,$5.18,,,,,,,,,
,XNN,Xenon,,$0.02,,,,,,,,,
